episode,return,length,loss
0,0.0,1786,2.6977465090940576
1,4.0,1786,0.3834227612508194
2,-8.0,1786,1.4206150329605276
3,4.0,1786,-0.2338496781087347
4,-9.0,1786,0.6970850553163993
5,-6.0,1786,-0.3374391122654613
6,-3.0,1786,-0.4354861808874245
7,-2.0,1786,-0.022442706488072783
8,4.0,1786,-1.7118721451843157
9,-1.0,1786,0.3556587659105259
10,5.0,1786,-0.8188750326226
11,16.0,1786,-0.6911972526045116
12,13.0,1786,-0.017759258537885847
13,-3.0,1786,0.6041958446764121
14,4.0,1786,-0.5858512329868972
15,4.0,1786,-0.3008338676108646
16,5.0,1786,-0.6037472314895629
17,8.0,1786,-0.3879163447118896
18,2.0,1786,0.17045068795019427
19,4.0,1786,0.013893249757321813
20,-32.0,1786,2.121022043225821
21,-4.0,1786,-3.020816398794497
22,-6.0,1786,-0.29359305663300417
23,9.0,1786,-1.4754651964176446
24,-2.0,1786,0.43190637543864013
25,-4.0,1786,0.15772821390835035
26,-2.0,1786,-0.41471332844479813
27,4.0,1786,-0.7820184155417207
28,5.0,1786,0.13278426917718855
29,13.0,1786,-0.4070816454169939
30,0.0,1786,-0.2515669257030822
31,0.0,1786,-0.38456405111937786
32,7.0,1786,-0.6846803087341998
33,0.0,1786,0.7495910804253072
34,13.0,1786,-2.550071039445798
35,6.0,1786,0.3911597942517671
36,-8.0,1786,0.5403302233840804
37,0.0,1786,-0.8123584975546692
38,-9.0,1786,1.0309447401036906
39,-4.0,1786,-0.2765766359765881
40,-5.0,1786,0.19565485798936738
41,-2.0,1786,-0.4474920648615808
42,1.0,1786,0.17784651937295817
43,1.0,1786,-0.6452400203702772
44,-5.0,1786,0.2814814962388482
45,-5.0,1786,-0.28422456928944617
46,14.0,1786,-1.381284859911206
47,-1.0,1786,0.5615938125510833
48,-23.0,1786,0.8450641812191212
49,-2.0,1786,-2.376231563837999
